function, code1, hexcode1, code2, hexcode2

"BASS DOWN","sendir,1:1,1,38000,1,69,341,171,22,21,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,63,22,63,22,63,22,63,22,63,22,63,22,63,22,63,22,21,21,64,21,21,22,63,22,21,22,63,22,63,22,21,21,64,21,22,21,64,21,21,22,63,22,21,22,21,21,64,21,1529,341,85,22,1529","0000 006D 0022 0002 0155 00AB 0016 0015 0016 0015 0016 0015 0015 0015 0016 0015 0016 0015 0015 0015 0016 0015 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 0015 0015 0040 0015 0015 0016 003F 0016 0015 0016 003F 0016 003F 0016 0015 0015 0040 0015 0016 0015 0040 0015 0015 0016 003F 0016 0015 0016 0015 0015 0040 0015 05F9 0155 0055 0016 05F9",,

"BASS UP","sendir,1:1,1,38000,1,69,342,171,22,21,22,21,21,22,21,21,22,21,22,21,21,21,22,21,22,63,22,63,22,63,22,63,22,63,22,63,22,63,22,63,22,63,22,63,22,21,21,64,21,21,22,63,22,63,22,21,22,21,21,21,22,63,22,21,22,63,22,21,21,22,21,64,21,1528,343,85,22,1528","0000 006D 0022 0002 0156 00AB 0016 0015 0016 0015 0015 0016 0015 0015 0016 0015 0016 0015 0015 0015 0016 0015 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 0015 0015 0040 0015 0015 0016 003F 0016 003F 0016 0015 0016 0015 0015 0015 0016 003F 0016 0015 0016 003F 0016 0015 0015 0016 0015 0040 0015 05F8 0157 0055 0016 05F8",,

"COMMERCIAL VOLUME ATTENUATION","sendir,1:1,1,38000,1,69,343,171,21,21,22,21,22,21,21,21,22,21,22,21,22,21,21,21,22,63,22,63,22,63,22,63,22,63,22,63,22,63,22,63,22,21,22,21,21,64,21,64,21,21,22,21,22,63,22,21,21,64,21,64,21,21,22,21,22,63,22,63,22,21,21,64,21,1529,342,85,22,1529","0000 006D 0022 0002 0157 00AB 0015 0015 0016 0015 0016 0015 0015 0015 0016 0015 0016 0015 0016 0015 0015 0015 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 0015 0016 0015 0015 0040 0015 0040 0015 0015 0016 0015 0016 003F 0016 0015 0015 0040 0015 0040 0015 0015 0016 0015 0016 003F 0016 003F 0016 0015 0015 0040 0015 05F9 0156 0055 0016 05F9",,

"CURSOR DOWN","sendir,1:1,1,38000,1,69,347,174,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,21,21,65,21,21,21,21,21,21,21,65,21,21,21,21,21,65,21,21,21,65,21,65,21,65,21,21,21,65,21,1572,347,87,21,3708","0000 006D 0022 0002 015B 00AE 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0015 0015 0041 0015 0015 0015 0015 0015 0015 0015 0041 0015 0015 0015 0015 0015 0041 0015 0015 0015 0041 0015 0041 0015 0041 0015 0015 0015 0041 0015 0624 015B 0057 0015 0E7C",,

"CURSOR ENTER","sendir,1:1,1,38000,1,69,347,174,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,21,21,65,21,65,21,65,21,21,21,21,21,21,21,65,21,65,21,21,21,21,21,21,21,65,21,65,21,65,21,21,21,1572,347,87,21,3708","0000 006D 0022 0002 015B 00AE 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0015 0015 0041 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0041 0015 0015 0015 0624 015B 0057 0015 0E7C",,
